"Branch","Product","Year","Color","Sales Quantity","Unit Price","Revenue","Cost","Profit","Customer Satisfaction Rating"
"USA","BMW Z4","2017","Red","136","48141.119393448","6547192.237509","29667.91560224","2512355.7156043","3"
"Brazil","BMW X5","2010","Yellow","34","57902.361788115","1968680.3007959","17400.623055824","1377059.1168979","5"
"USA","BMW 3 Series","2016","Blue","13","46241.878023195","601144.41430154","27750.661374295","240385.8164357","1"
"France","BMW i3","2016","Yellow","66","59055.549663407","3897666.2777849","44029.683157019","991707.18942158","4"
"Canada","BMW X7","2014","Green","124","59400.909085888","7365712.7266502","15073.629966548","5496582.6107982","4"
"China","BMW 5 Series","2023","Yellow","137","74670.231759493","10229821.751051","20473.976720041","7424886.9404049","3"
"Brazil","BMW X7","2013","Orange","33","62199.044476263","2052568.4677167","43191.154493942","627260.36941659","5"
"France","BMW M4","2014","Grey","90","32118.378523203","2890654.0670883","46328.251744176","-1278888.5898876","2"
"Japan","BMW i3","2021","White","170","21822.331890649","3709796.4214103","28869.195669855","-1197966.842465","1"
"Australia","BMW 5 Series","2023","White","94","67849.150828268","6377820.1778572","33254.920807353","3251857.621966","2"
"UK","BMW 3 Series","2017","Yellow","158","36653.959177961","5791325.5501178","47418.900023252","-1700860.6535561","5"
"India","BMW X7","2012","Grey","76","75505.623696441","5738427.4009295","25976.260515836","3764231.6017259","2"
"USA","BMW 3 Series","2017","Green","159","78135.565839221","12423554.968436","48343.639861366","4736916.230479","1"
"Australia","BMW M4","2019","Green","116","20804.236287617","2413291.4093636","33783.86493113","-1505636.9226475","3"
"India","BMW X3","2022","Grey","97","54806.091780589","5316190.9027171","15025.476588022","3858719.673679","5"
"USA","BMW X7","2023","Orange","125","64674.499123948","8084312.3904935","47378.389456615","2162013.7084167","4"
"Germany","BMW Z4","2015","Orange","90","65143.488351485","5862913.9516336","30613.881699842","3107664.5986478","1"
"Australia","BMW i3","2021","Grey","76","52890.18052705","4019653.7200558","36182.455358468","1269787.1128122","3"
"France","BMW X5","2022","Red","5","31682.294343126","158411.47171563","46886.938982215","-76023.223195444","3"
"Japan","BMW i8","2019","Silver","23","53481.728457898","1230079.7545317","18803.286237796","797604.17106235","1"
"France","BMW 7 Series","2022","Yellow","88","46369.864283506","4080548.0569485","34146.351004287","1075669.1685712","4"
"Germany","BMW M4","2017","Orange","94","59861.661020149","5626996.135894","42978.198324163","1587045.4934227","4"
"Japan","BMW X7","2018","Purple","148","60954.545513656","9021272.736021","20813.97379206","5940804.6147962","5"
"China","BMW 3 Series","2017","Yellow","12","54168.358706036","650020.30447243","19558.307286725","415320.61703173","5"
"Germany","BMW i3","2019","Black","104","65074.737167363","6767772.6654058","17703.906778411","4926566.3604511","2"
"Japan","BMW X3","2015","Red","35","77925.433241501","2727390.1634525","29341.949591607","1700421.9277463","1"
"Brazil","BMW i3","2015","Green","73","24478.098454598","1786901.1871857","36584.041335612","-883733.83031402","1"
"Brazil","BMW i3","2022","Red","111","50785.376473557","5637176.7885648","38896.386703734","1319677.8644503","3"
"India","BMW X7","2017","Black","147","75291.470495659","11067846.162862","43178.883177573","4720550.3357587","3"
"Japan","BMW 5 Series","2018","Red","81","20937.854654319","1695966.2269998","34451.503610695","-1094605.5654665","4"
"Japan","BMW 3 Series","2011","Orange","41","35721.41938189","1464578.1946575","27478.376974661","337964.73869638","5"
"India","BMW M4","2019","Silver","37","65438.556552637","2421226.5924476","38408.537442561","1000110.7070728","5"
"UK","BMW Z4","2023","Red","57","63871.50599786","3640675.841878","43001.92180848","1189566.2987946","1"
"Germany","BMW X7","2017","Green","194","36002.025421915","6984392.9318515","43017.493878164","-1361000.8805123","2"
"Canada","BMW i3","2011","Grey","54","34058.294077311","1839147.8801748","36240.286684605","-117827.60079393","5"
"Brazil","BMW i3","2019","Silver","173","73488.085859442","12713438.853683","17623.522973136","9664569.379331","1"
"UK","BMW X5","2011","Orange","153","44834.259366068","6859641.6830084","21699.310662731","3539647.1516105","1"
"USA","BMW X7","2016","White","158","41916.446753577","6622798.5870652","29057.714367973","2031679.7169254","4"
"China","BMW i3","2019","Blue","192","39866.844260015","7654434.0979229","29533.655097107","1983972.3192783","4"
"Japan","BMW X5","2021","Yellow","155","72572.052799636","11248668.183944","45491.54796773","4197478.2489454","1"
"Canada","BMW X3","2021","Grey","146","71752.902178012","10475923.71799","44642.321378185","3958144.7967747","5"
"Canada","BMW X3","2023","Black","105","60291.417747161","6330598.8634519","29386.463048349","3245020.2433753","5"
"France","BMW X3","2012","Red","128","54973.205885705","7036570.3533702","22147.918369782","4201636.8020381","2"
"France","BMW Z4","2017","Purple","65","42452.431837637","2759408.0694464","46471.949498731","-261268.6479711","3"
"Japan","BMW X3","2020","Blue","47","61465.950549879","2888899.6758443","36994.275676494","1150168.7190491","2"
"France","BMW X5","2023","Purple","199","74900.155135416","14905130.871948","40965.791355747","6752938.3921541","2"
"USA","BMW X3","2023","Purple","185","59234.98950531","10958473.058482","42106.679832194","3168737.2895264","2"
"Brazil","BMW 3 Series","2019","Black","177","35156.172822723","6222642.5896221","48815.000558888","-2417612.5093011","1"
"UK","BMW 5 Series","2018","Blue","140","49220.143537994","6890820.0953192","47872.528408634","188666.11811042","5"
"Japan","BMW 3 Series","2010","White","146","62163.50783022","9075872.1432121","17002.973915427","6593437.9515598","4"
"Australia","BMW i3","2020","White","119","58330.7675903","6941361.3432457","43820.656071332","1726703.2707572","3"
"China","BMW X7","2011","Grey","184","49423.573251711","9093937.4783148","19315.136859241","5539952.2962145","1"
"China","BMW X7","2015","Black","117","42204.154630089","4937886.0917204","36205.436495743","701850.02171845","3"
"France","BMW 3 Series","2018","Blue","93","32546.268327985","3026802.9545027","20973.587996094","1076259.2708659","3"
"Germany","BMW 5 Series","2011","Silver","106","69768.497226942","7395460.7060558","44094.192566885","2721476.293966","2"
"Canada","BMW 7 Series","2020","White","10","79133.151968059","791331.51968059","38921.663808415","402114.88159644","4"
"Japan","BMW X5","2011","Red","159","22000.109297089","3498017.3782371","30559.712634259","-1360976.9306101","3"
"Japan","BMW M4","2020","Purple","100","41638.633774956","4163863.3774956","38528.083778839","311054.99961167","2"
"Brazil","BMW 7 Series","2020","Silver","163","74640.636425486","12166423.737354","36909.109188691","6150238.9395976","1"
"Brazil","BMW 3 Series","2018","Red","2","30483.035251614","60966.070503227","44326.942190095","-27687.813876962","3"
"China","BMW 5 Series","2013","Grey","29","30174.452395298","875059.11946365","48529.430944037","-532294.37791343","3"
"USA","BMW 7 Series","2018","Orange","159","61374.363939425","9758523.8663686","16111.513687863","7196793.1899983","4"
"Canada","BMW 3 Series","2016","Grey","121","59523.046266284","7202288.5982203","19258.089985972","4872059.7099177","1"
"USA","BMW 5 Series","2018","Red","5","48544.525295746","242722.62647873","33809.998357215","73672.634692653","5"
"China","BMW M4","2011","Red","181","31665.773847409","5731505.0663809","16761.491727861","2697675.063638","3"
"Germany","BMW X5","2014","Yellow","33","55495.582523616","1831354.2232793","45744.379037899","321789.71502864","2"
"Brazil","BMW X3","2023","Black","101","67195.210116474","6786716.2217639","35196.122873199","3231907.8115708","3"
"UK","BMW 3 Series","2014","Green","82","33997.155624762","2787766.7612305","16095.428942073","1467941.5879805","2"
"France","BMW 3 Series","2014","White","39","23699.808696035","924292.53914535","17659.575355544","235569.10027914","1"
"India","BMW X3","2011","White","77","57331.909583833","4414557.0379552","26406.426228878","2381262.2183316","2"
"Germany","BMW i3","2013","Yellow","156","72555.171943426","11318606.823174","34685.944652609","5907599.4573674","2"
"Germany","BMW X5","2012","Black","82","75132.52940602","6160867.4112937","31622.919824863","3567787.9856549","5"
"Brazil","BMW M4","2015","Grey","63","49717.846138337","3132224.3067152","37625.656130019","761807.97052404","3"
"Australia","BMW X7","2017","Blue","154","35964.582061628","5538545.6374907","16842.790506578","2944755.8994777","4"
"Japan","BMW i8","2011","Silver","37","43955.144573502","1626340.3492196","35653.316342572","307167.6445444","1"
"India","BMW 5 Series","2011","Grey","182","27774.776092352","5055009.248808","27369.673416282","73728.68704472","2"
"France","BMW i3","2015","Green","109","31915.475729968","3478786.8545665","19271.337642529","1378211.0515308","5"
"France","BMW 5 Series","2010","Green","152","59587.742824545","9057336.9093308","45797.636211801","2096096.2051371","2"
"UK","BMW Z4","2018","White","81","59929.501541218","4854289.6248387","27972.828991204","2588490.4765512","4"
"Brazil","BMW Z4","2022","Purple","109","37719.732853505","4111450.8810321","41526.308929107","-414916.79224059","5"
"Japan","BMW 5 Series","2020","Blue","11","56985.286804845","626838.15485329","21910.653278906","385820.96878533","1"
"Brazil","BMW X3","2020","Grey","16","52203.10712554","835249.71400864","42996.727782197","147302.06949349","4"
"Germany","BMW X3","2017","Blue","120","74830.831123448","8979699.7348137","29950.783075363","5385605.7657702","3"
"Brazil","BMW i8","2023","Yellow","24","31002.423177755","744058.15626612","32625.094101016","-38944.10215826","4"
"UK","BMW 3 Series","2023","Orange","91","54913.007247008","4997083.6594777","37454.905371892","1588687.2706356","5"
"India","BMW 7 Series","2011","Grey","89","32299.030570925","2874613.7208123","19896.468821384","1103827.9957091","1"
"Germany","BMW i3","2021","Silver","162","34954.954324753","5662702.6006099","42792.683266002","-1269712.0884824","1"
"Australia","BMW M4","2020","Blue","18","47367.031203559","852606.56166405","24032.345312292","420024.34604279","5"
"France","BMW X3","2015","Yellow","57","73238.7872042","4174610.8706394","17358.820787528","3185158.0857503","1"
"USA","BMW X7","2012","Orange","168","63776.2807923","10714415.173106","40867.187782142","3848727.6257066","5"
"France","BMW 3 Series","2013","Red","23","38830.305041588","893097.01595652","18237.340865914","473638.17604051","5"
"USA","BMW 3 Series","2010","Red","1","69059.668986189","69059.668986189","25229.893184379","43829.77580181","1"
"France","BMW M4","2015","Grey","108","59599.889048929","6436788.0172843","29641.321159402","3235525.3320689","5"
"France","BMW i3","2023","Black","96","72062.104080493","6917961.9917273","19564.582620689","5039762.0601412","5"
"Brazil","BMW 5 Series","2017","Grey","153","47749.268752496","7305638.1191319","44453.052338525","504321.11133754","5"
"Germany","BMW M4","2018","Purple","106","41934.715958927","4445079.8916462","17825.112645555","2555617.9512174","4"
"France","BMW 5 Series","2016","Orange","23","64393.322082898","1481046.4079067","31298.159633187","761188.73634335","2"
"Canada","BMW Z4","2022","Red","19","69281.801479503","1316354.2281106","48566.67956089","393587.31645365","2"
"UK","BMW 7 Series","2013","Green","124","45407.265798583","5630500.9590243","26518.284053576","2342233.7363809","1"
"Japan","BMW 7 Series","2018","Blue","109","44280.161769358","4826537.6328601","42986.828733839","140973.30087158","3"
"China","BMW 3 Series","2023","Purple","92","42976.395368506","3953828.3739026","38570.13246305","405376.18730194","3"
"Germany","BMW X5","2023","White","28","27909.448405071","781464.555342","24805.475482313","86911.241837243","4"
"USA","BMW i3","2014","Purple","109","58959.876774906","6426626.5684647","37600.76459096","2328143.2280501","3"
"China","BMW i8","2019","Grey","146","79844.462396464","11657291.509884","16412.049770323","9261132.2434166","5"
"Japan","BMW i3","2019","Black","171","27228.379775754","4656052.941654","29519.321711212","-391751.07096334","2"
"Canada","BMW X5","2021","Red","79","62495.832966821","4937170.8043788","37362.533833358","1985530.6315436","5"
"China","BMW 3 Series","2015","Green","173","62573.308060094","10825182.294396","24121.499988088","6652162.796457","1"
"France","BMW i3","2021","Silver","191","26584.363182146","5077613.3677899","17972.630493105","1644840.9436069","5"
"Brazil","BMW 7 Series","2023","Grey","141","42800.506951953","6034871.4802253","18486.164151551","3428322.3348566","4"
"Japan","BMW 5 Series","2014","White","52","45317.160253875","2356492.3332015","29477.717919232","823651.00140141","1"
"Canada","BMW 7 Series","2016","Yellow","48","22257.331005404","1068351.8882594","40321.357402464","-867073.26705889","2"
"France","BMW 7 Series","2013","Silver","83","53337.711715564","4427030.0723918","37935.250137475","1278404.3109814","5"
"Australia","BMW 5 Series","2019","White","196","60963.78512246","11948901.884002","20346.161266211","7961054.2758249","3"
"Australia","BMW X7","2023","Purple","117","33529.894914489","3922997.7049952","22118.470492952","1335136.6573199","5"
"Australia","BMW i8","2013","Orange","171","36868.8557674","6304574.3362253","33532.608248097","570498.32580082","5"
"Australia","BMW Z4","2022","Grey","46","33032.042759548","1519473.9669392","26454.005665043","302589.70634724","1"
"USA","BMW 3 Series","2015","White","19","68150.193338035","1294853.6734227","38051.250682366","571879.9104577","3"
"UK","BMW 3 Series","2010","White","173","47275.424011608","8178648.3540082","31303.691761556","2763109.679259","4"
"France","BMW X5","2014","Silver","131","36248.580856751","4748564.0922344","49850.171562034","-1781808.382392","1"
"Japan","BMW 5 Series","2012","Purple","105","46680.344585043","4901436.1814296","36613.184418937","1057051.8174412","1"
"Canada","BMW X5","2016","Orange","159","29575.261958338","4702466.6513757","18328.831116877","1788182.5037923","3"
"USA","BMW 5 Series","2023","Grey","71","70407.036194406","4998899.5698028","42673.131999007","1969107.1978734","5"
"China","BMW M4","2011","Red","150","33232.502423506","4984875.3635259","32478.511660768","113098.6144107","4"
"Germany","BMW X3","2010","White","6","45392.68097471","272356.08584826","21698.450545888","142165.38257293","5"
"Brazil","BMW 3 Series","2016","Red","31","45259.451586307","1403042.9991755","28981.516785613","504615.97882149","3"
"China","BMW X5","2017","Grey","19","47554.927871401","903543.62955663","28597.12230436","360198.30577378","5"
"USA","BMW Z4","2011","Silver","128","21455.83157966","2746346.4421965","31522.263348141","-1288503.2663655","4"
"India","BMW i8","2010","Purple","42","52840.70931381","2219309.79118","33600.91017976","808071.56363007","4"
"China","BMW 3 Series","2016","Green","198","48174.655046825","9538581.6992714","34836.357290444","2640982.9557635","1"
"India","BMW i3","2011","Purple","2","59941.987044184","119883.97408837","40973.610738818","37936.752610732","1"
"Germany","BMW M4","2019","Silver","173","60285.135894857","10429328.50981","45343.878718343","2584837.4915368","3"
"Germany","BMW 5 Series","2017","Silver","24","53460.1241805","1283042.980332","32366.773249348","506240.42234764","1"
"Australia","BMW X7","2015","Silver","156","70130.094164327","10940294.689635","39913.191877312","4713836.7567743","2"
"China","BMW X5","2013","Yellow","140","46089.351624041","6452509.2273658","26907.0701995","2685519.3994358","5"
"France","BMW X7","2018","Green","147","62038.393159888","9119643.7945036","25750.268086759","5334354.3857501","3"
"Canada","BMW 7 Series","2020","Yellow","20","62677.272481298","1253545.449626","49705.400073165","259437.44816266","3"
"USA","BMW 7 Series","2019","White","104","23958.482444812","2491682.1742604","22456.848928104","156169.88573762","3"
"Australia","BMW 7 Series","2013","Orange","6","78560.267504026","471361.60502415","32911.902588203","273890.18949494","4"
"UK","BMW M4","2017","Red","54","47906.442832851","2586947.9129739","20083.63471816","1502431.6381933","2"
"France","BMW X5","2016","Red","60","44967.470071841","2698048.2043104","45214.234984709","-14805.894772128","1"
"France","BMW X5","2013","Black","24","35054.694385352","841312.66524844","30884.211922488","100091.57910874","5"
"Brazil","BMW Z4","2017","Black","178","20822.896686287","3706475.6101591","35118.542904167","-2544625.0267826","1"
"Canada","BMW 5 Series","2019","Green","171","25472.94602017","4355873.769449","30170.225594263","-803234.80716985","5"
"China","BMW 7 Series","2016","Purple","134","65587.212749549","8788686.5084395","20212.740509862","6080179.280118","3"
"Brazil","BMW 5 Series","2018","Black","193","49169.716938293","9489755.3690905","25609.779104641","4547068.0018949","4"
"Brazil","BMW Z4","2016","Red","168","34773.715662036","5841984.2312221","18839.007988901","2677030.8890867","5"
"Canada","BMW X3","2010","Grey","176","67053.21451121","11801365.753973","20669.86131177","8163470.1631014","2"
"Germany","BMW Z4","2018","Yellow","2","78531.040239444","157062.08047889","32457.939520044","92146.201438801","2"
"Japan","BMW X3","2011","Blue","111","30782.155458679","3416819.2559134","23350.134478337","824954.328818","3"
"China","BMW 5 Series","2018","Black","136","57129.352357143","7769591.9205715","15564.301579454","5652846.9057657","2"
"Canada","BMW 3 Series","2018","White","52","65009.677715411","3380503.2412014","28589.731297546","1893837.213729","5"
"Brazil","BMW i3","2021","White","183","70765.752201534","12950132.652881","41285.793082563","5394832.5187717","2"
"Australia","BMW X3","2013","Purple","152","61770.318975452","9389088.4842687","33129.331059924","4353430.1631603","3"
"Germany","BMW Z4","2016","Silver","92","32234.080918965","2965535.4445448","22682.931402568","878705.75550851","2"
"Brazil","BMW X5","2014","Red","181","29145.050389108","5275254.1204285","21298.108801781","1420296.4273062","3"
"UK","BMW X3","2012","Yellow","15","26215.986905434","393239.80358151","42902.928373513","-250304.12202119","3"
"Australia","BMW M4","2012","White","185","46808.052626153","8659489.7358383","21573.438935615","4668403.5327495","3"
"Japan","BMW M4","2014","Black","6","56597.066938257","339582.40162954","46672.661296996","59546.433847566","5"
"China","BMW i3","2014","White","93","47947.123447887","4459082.4806535","19410.750849452","2653882.6516545","2"
"UK","BMW 3 Series","2020","Black","190","74316.558375328","14120146.091312","28059.86911571","8788770.9593274","2"
"Australia","BMW X5","2020","Black","176","58590.582225773","10311942.471736","42843.284775657","2771524.3512205","5"
"Germany","BMW Z4","2018","Blue","27","76318.66684651","2060604.0048558","28273.503139171","1297219.4200981","5"
"China","BMW i8","2019","Yellow","28","54453.199794073","1524689.594234","29420.879398666","700904.97107139","5"
"UK","BMW 5 Series","2020","Grey","159","66059.190311211","10503411.259483","35292.23688395","4891945.5949345","1"
"Canada","BMW 5 Series","2012","Orange","159","45579.063487258","7247071.0944739","24177.332849064","3402875.1714728","5"
"China","BMW X7","2013","Purple","17","39255.844919271","667349.36362761","40566.982295951","-22289.335403556","1"
"Japan","BMW 5 Series","2017","Black","79","39441.756806793","3115898.7877367","32735.830067752","529768.21238428","5"
"Germany","BMW 7 Series","2020","Silver","125","40451.254979897","5056406.8724871","19598.855789504","2606549.8987991","1"
"Germany","BMW Z4","2023","Green","88","75749.481628813","6665954.3833355","48814.198544424","2370304.9114262","2"
"Brazil","BMW X7","2020","Blue","189","31028.929509613","5864467.6773169","36558.908972643","-1045166.1185127","1"
"Brazil","BMW i3","2021","Green","125","44871.707889556","5608963.4861945","43932.410596035","117412.16169014","4"
"Japan","BMW X5","2019","White","179","74382.626950489","13314490.224137","18028.453655751","10087397.019758","1"
"Canada","BMW X3","2022","Purple","12","52180.260398331","626163.12477997","37710.683986717","173634.91693937","3"
"France","BMW 3 Series","2019","Orange","153","33416.045296502","5112654.9303648","47631.436290958","-2174954.8221518","1"
"China","BMW 3 Series","2023","Yellow","84","22315.794226268","1874526.7150065","42477.860441224","-1693613.5620563","4"
"Brazil","BMW X7","2022","White","165","25360.390797172","4184464.4815334","25352.41443589","1316.099611558","1"
"Australia","BMW M4","2010","Green","124","53972.492473452","6692589.0667081","45718.579293545","1023485.2343085","5"
"India","BMW M4","2021","Blue","47","52986.059815121","2490344.8113107","33589.295448733","911647.92522023","1"
"USA","BMW Z4","2022","Orange","29","47050.632914695","1364468.3545262","21935.814505904","728329.73385495","4"
"France","BMW i3","2021","Red","199","34935.512629221","6952167.013215","38225.239341566","-654655.61575667","1"
"India","BMW i8","2013","Yellow","10","52513.429807367","525134.29807367","18475.358481284","340380.71326083","3"
"France","BMW 5 Series","2015","Red","88","57665.181518811","5074535.9736554","18980.81711878","3404224.0672027","1"
"Canada","BMW 3 Series","2021","Red","64","39187.623931294","2508007.9316028","35416.459429221","241354.5281327","4"
"France","BMW Z4","2010","Green","69","50898.77040388","3512015.1578677","46183.620369841","325345.35234875","1"
"UK","BMW i8","2022","Silver","111","64791.962802558","7191907.871084","45900.582668746","2096943.1948532","4"
"China","BMW M4","2023","Black","188","67452.835821662","12681133.134473","44294.241324437","4353815.7654783","3"
"UK","BMW X5","2013","Orange","175","42247.304289062","7393278.2505859","27551.808593299","2571711.7467585","4"
"Canada","BMW i3","2013","White","40","77890.955356497","3115638.2142599","45025.062012612","1314635.7337554","5"
"UK","BMW i8","2021","Blue","133","68091.140351857","9056121.666797","34359.479986469","4486310.8285966","5"
"Australia","BMW Z4","2014","Green","89","36578.588639142","3255494.3888836","19073.953857958","1557912.4955254","5"
"Japan","BMW 5 Series","2015","Purple","22","47860.036980949","1052920.8135809","44336.760502541","77512.082524981","5"
"UK","BMW Z4","2013","Grey","66","70031.453727591","4622075.946021","15695.960437134","3586142.5571702","4"
"Brazil","BMW M4","2016","Black","127","78650.5783741","9988623.4535107","18395.254696426","7652426.1070646","1"
"China","BMW Z4","2011","Blue","51","60398.538595465","3080325.4683687","31997.128954038","1448471.8917128","5"
"Germany","BMW 5 Series","2010","Green","138","24733.381588567","3413206.6592222","44186.354190059","-2684510.2190059","3"
"USA","BMW Z4","2021","Yellow","141","49435.85479041","6970455.5254478","17737.429209192","4469478.0069517","3"
"Germany","BMW X5","2014","White","88","79310.432081051","6979318.0231325","33255.447644291","4052838.6304349","2"
"Brazil","BMW X3","2014","Red","70","35245.011089724","2467150.7762807","35471.10181647","-15826.350872253","4"
"France","BMW M4","2021","Green","58","71691.054353797","4158081.1525202","23314.492362034","2805840.5955223","4"
"UK","BMW X5","2012","Grey","126","45571.661465625","5742029.3446688","25316.411551068","2552161.4892342","4"
"India","BMW i8","2014","Orange","160","69749.66456167","11159946.329867","23891.180934174","7337357.3803993","4"
"Brazil","BMW i8","2016","Black","189","24415.925288571","4614609.8795399","21904.361755228","474685.50780182","2"
"Germany","BMW X3","2020","Grey","151","74860.036730082","11303865.546242","49043.64757774","3898274.7620036","3"
"UK","BMW 3 Series","2023","Grey","113","69943.401385977","7903604.3566154","32199.602891079","4265049.2299235","3"
"Germany","BMW 5 Series","2020","Red","78","52353.02670431","4083536.0829362","23157.079690256","2277283.8670962","1"
"USA","BMW 7 Series","2010","Green","68","27450.810935453","1866655.1436108","25766.201428832","114553.44645018","5"
"UK","BMW Z4","2010","Grey","89","50096.865815322","4458621.0575636","34478.697622079","1390016.9691986","2"
"USA","BMW Z4","2020","Silver","195","69275.10579398","13508645.629826","36854.370502183","6322043.3819005","4"
"Canada","BMW 7 Series","2012","Grey","15","60205.445324552","903081.67986828","35439.163083684","371494.23361302","3"
"UK","BMW 5 Series","2012","Yellow","152","47758.608669119","7259308.517706","34610.949390542","1998444.2103436","1"
"Brazil","BMW X5","2010","Grey","62","65127.538068616","4037907.3602542","35767.649058104","1820313.1186517","5"
"Germany","BMW M4","2014","Blue","61","27268.343744921","1663368.9684402","47641.883970499","-1242785.9537603","3"
"Australia","BMW i3","2019","Red","53","35898.037188345","1902595.9709823","18438.593417107","925350.51987563","4"
"USA","BMW X7","2016","Green","186","64982.631027107","12086769.371042","19154.683589872","8523998.2233256","5"
"USA","BMW X7","2017","Purple","46","43093.778804142","1982313.8249905","26606.268447478","758425.47640654","4"
"India","BMW i3","2022","Purple","178","42066.279552835","7487797.7604046","47004.885508425","-879071.860095","4"
"Japan","BMW Z4","2011","Silver","44","51717.835147266","2275584.7464797","32298.938500128","854431.45247406","3"
"USA","BMW 5 Series","2023","Orange","182","58586.854758856","10662807.566112","26519.962806796","5836174.3352749","3"
"UK","BMW 5 Series","2016","White","6","71496.031833081","428976.19099849","24807.186860951","280133.06983278","3"
"Brazil","BMW i3","2011","Silver","57","77010.949584756","4389624.1263311","23857.645844126","3029738.313216","5"
"Australia","BMW X3","2016","Silver","167","66125.359047302","11042934.960899","38555.401430281","4604182.9220425","3"
"Japan","BMW Z4","2022","Purple","94","25064.288308476","2356043.1009967","33358.424960405","-779648.84528141","5"
"UK","BMW i3","2017","Red","14","39797.129656852","557159.81519592","48348.085681335","-119713.38434277","1"
"Australia","BMW i3","2014","Orange","46","70232.35056188","3230688.1258465","41459.590409899","1323546.9669911","1"
"Germany","BMW i8","2014","Red","135","36848.858681129","4974595.9219525","37557.724852722","-95696.933164983","4"
"France","BMW i8","2022","Silver","166","37610.711662191","6243378.1359237","45408.555990422","-1294442.1584864","3"
"Canada","BMW i8","2014","Purple","191","50906.371644519","9723116.9841032","34436.725120321","3145702.4861219","2"
"Brazil","BMW 7 Series","2017","Green","114","59792.666370035","6816363.966184","23752.579277528","4108569.9285458","2"
"USA","BMW i3","2017","Green","143","28234.222190719","4037493.7732728","34633.60064691","-915111.1192353","2"
"Germany","BMW i3","2017","Orange","159","78297.250290136","12449262.796132","48914.552069261","4671849.0171192","4"
"France","BMW i8","2016","Blue","41","78533.643998035","3219879.4039194","22253.526461134","2307484.8190129","5"
"France","BMW 5 Series","2020","Yellow","88","63024.529920397","5546158.632995","36521.952296701","2332226.8308853","4"
"Canada","BMW i3","2019","Yellow","141","44130.243725913","6222364.3653538","25815.146392262","2582428.7240448","1"
"Brazil","BMW M4","2020","Purple","141","34670.576992875","4888551.3559954","29658.7007773","706674.54639609","1"
"Brazil","BMW X7","2018","Grey","173","23745.747190594","4108014.2639727","41744.500961787","-3113784.4024165","5"
"India","BMW 7 Series","2010","Blue","79","66828.631730502","5279461.9067096","45727.099397549","1667021.0543033","1"
"Australia","BMW M4","2022","Red","19","72034.112688502","1368648.1410815","39290.319152716","622132.07717993","2"
"Japan","BMW 7 Series","2020","Silver","104","44380.511142289","4615573.1587981","49470.992451456","-529410.05615329","2"
"China","BMW i8","2021","White","134","28981.989496833","3883586.5925757","47924.875519974","-2538346.7271009","2"
"China","BMW 3 Series","2015","Red","107","26366.542051898","2821219.9995531","43160.90734378","-1796997.0862313","4"
"Germany","BMW 7 Series","2016","Orange","42","72079.432440261","3027336.162491","41084.151531246","1301801.7981786","3"
"Australia","BMW Z4","2017","Grey","4","39038.19410715","156152.7764286","37368.863189304","6677.3236713844","5"
"India","BMW 3 Series","2022","Black","111","26216.600273437","2910042.6303515","44796.829034485","-2062405.3924764","4"
"Canada","BMW i3","2014","Green","80","52170.630529468","4173650.4423574","19297.637076819","2629839.4762119","4"
"China","BMW Z4","2023","Blue","63","74676.846026328","4704641.2996587","23085.487415558","3250255.5924785","3"
"Canada","BMW i3","2022","Red","119","43308.87852626","5153756.5446249","44464.275839371","-137492.2802602","1"
"Australia","BMW i8","2017","Black","137","50380.589429667","6902140.7518644","47440.005975953","402859.93315883","1"
"India","BMW X5","2013","Green","137","49743.596364811","6814872.7019791","43803.075918559","813851.30113656","3"
"Japan","BMW 3 Series","2021","Orange","35","79580.680597827","2785323.8209239","34286.095857844","1585310.4658994","1"
"Germany","BMW Z4","2016","Red","108","46349.794919056","5005777.8512581","46923.460989244","-61955.935580309","4"
"France","BMW i3","2019","Black","109","30618.610451887","3337428.5392557","21287.752427324","1017063.5246774","1"
"UK","BMW 5 Series","2018","Orange","71","25715.772665203","1825819.8592294","36994.983271222","-800823.95302731","1"
"India","BMW 5 Series","2014","White","129","50169.76544379","6471899.742249","25116.223944246","3231906.8534412","5"
"UK","BMW 7 Series","2011","Red","2","21797.175458714","43594.350917429","29255.421045321","-14916.491173213","3"
"UK","BMW i8","2018","Black","64","31461.93829946","2013564.0511654","34926.63930063","-221740.86407488","2"
"France","BMW X5","2010","Black","148","49493.716362813","7325070.0216963","45839.078677193","540886.37747164","5"
"India","BMW i3","2011","White","22","31430.93775218","691480.63054797","34533.173764466","-68249.19227028","4"
"Japan","BMW X5","2019","Black","104","54694.198630457","5688196.6575675","27486.944141821","2829554.4668181","2"
"Australia","BMW i3","2013","Orange","133","76639.965749717","10193115.444712","32415.755670572","5881819.9405262","5"
"China","BMW X7","2011","Orange","128","66327.792271561","8489957.4107598","42857.75977827","3004164.1591412","5"
"India","BMW 3 Series","2020","Black","170","55381.121937068","9414790.7293016","33951.19861113","3643086.9654095","1"
"Japan","BMW 5 Series","2015","Green","89","40099.295988165","3568837.3429467","21550.457407999","1650846.6336348","5"
"Brazil","BMW i3","2019","Blue","97","65291.480061223","6333273.5659387","23439.324773477","4059659.0629113","3"
"Germany","BMW Z4","2016","Black","68","45820.006014107","3115760.4089593","22178.098442302","1607649.7148827","5"
"India","BMW 5 Series","2020","Black","169","60495.733443233","10223778.951906","23438.606594958","6262654.4373586","5"
